bo2023_region_id,bo2023_region_name,bo2023_lobe,bo2023_saleem_network,bo2023_neocortex_flag,bo2023_roi173,bo2023_source_sample_count,resolution_tier,resolution_group,resolution_group_members,group_plausibility_tier,public_major_anatomy,public_network_or_subdivision,public_fine_anatomy_label,public_label_synonyms,mapping_level,mapping_confidence,mapping_rule,compatible_public_dataset_labels,ivy_gap_mapping_status,do_not_use_as_exact_ground_truth,caution_note
MT,MT,Temporal,Occipital/Temporal,Yes,MT,1,low_resolution,MT,MT,single_region_low_resolution,temporal lobe,visual occipital-temporal cortex,visual occipital-temporal cortex,MT; MT; visual occipital-temporal cortex; temporal cortex,lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
NARegion,NARegion,Subcortical,Subcortical,No,Striatum,7,low_resolution,Subcortical::NARegion + cd + pu,NARegion | cd | pu,moderate_internal_support,subcortical structures,subcortical structures,subcortical structures,NARegion; NARegion; subcortical; subcortical structures,major_structure,low,subcortical abbreviation lacks stable public-dataset synonym; use only as coarse structure unless manually curated,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
PGa,"area Pga,dorsal bank/fundus junction of the STS",Temporal,Temporal,Yes,PGa,9,low_resolution,Temporal::PGa + STG + TAa + TEa + TEad + TEm + TPO,PGa | STG | TAa | TEa | TEad | TEm | TPO,requires_manual_review,temporal lobe,temporal cortex,temporal cortex,"PGa; area Pga,dorsal bank/fundus junction of the STS; temporal cortex; temporal cortex",lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
PL,PL,Subcortical,Subcortical,No,PL,1,low_resolution,PL,PL,single_region_low_resolution,subcortical structures,subcortical structures,subcortical structures,PL; PL; subcortical; subcortical structures,major_structure,low,subcortical abbreviation lacks stable public-dataset synonym; use only as coarse structure unless manually curated,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
Pi,parainsular area,Insula,Operculum/Insula,Yes,Pi,4,low_resolution,Operculum/Insula::Ia + Ial + Iapm + Pi,Ia | Ial | Iapm | Pi,strong_internal_support,insula,operculum/insula,operculum/insula,Pi; parainsular area; operculum/insula; insular cortex,major_structure,medium,mapped to major cortical structure by Bo2023 lobe/network,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
Pir,piriform cortex,Subcortical,Subcortical,No,Pir,4,low_resolution,Pir,Pir,single_region_low_resolution,subcortical structures,subcortical structures,piriform cortex,piriform cortex,exact/common_anatomical_name,high,mapped by widely used anatomical name shared across macaque and public brain datasets,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
PrCo,PrCo,Frontal,Operculum/Insula,Yes,PrCO,8,low_resolution,Operculum/Insula::G + Iapl + Id + Ig + PrCo + Ri + SII,G | Iapl | Id | Ig | PrCo | Ri | SII,requires_manual_review,frontal lobe,operculum/insula,operculum/insula,PrCo; PrCo; operculum/insula; frontal cortex,lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
R,"rostral, core region of the auditory cortex",Temporal,Temporal,Yes,R,8,low_resolution,Temporal::R + RM,R | RM,strong_internal_support,temporal lobe,temporal cortex,temporal cortex,"R; rostral, core region of the auditory cortex; temporal cortex; temporal cortex",lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
RM,"rostromedial, belt region of the auditory cortex",Temporal,Temporal,Yes,RM,10,low_resolution,Temporal::R + RM,R | RM,strong_internal_support,temporal lobe,temporal cortex,temporal cortex,"RM; rostromedial, belt region of the auditory cortex; temporal cortex; temporal cortex",lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
RT,"rostrotemporal, core region of the auditory cortex",Temporal,Temporal,Yes,RT,4,low_resolution,Temporal::RT + RTM,RT | RTM,strong_internal_support,temporal lobe,temporal cortex,temporal cortex,"RT; rostrotemporal, core region of the auditory cortex; temporal cortex; temporal cortex",lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
RTL,"lateral rostrotemporal, belt region of the auditory cortex",Temporal,Temporal,Yes,RTL,6,low_resolution,RTL,RTL,single_region_low_resolution,temporal lobe,temporal cortex,temporal cortex,"RTL; lateral rostrotemporal, belt region of the auditory cortex; temporal cortex; temporal cortex",lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
RTM,"medial rostrotemporal, belt region of the auditory cortex",Temporal,Temporal,Yes,RTM,6,low_resolution,Temporal::RT + RTM,RT | RTM,strong_internal_support,temporal lobe,temporal cortex,temporal cortex,"RTM; medial rostrotemporal, belt region of the auditory cortex; temporal cortex; temporal cortex",lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
Ri,retroinsula,Insula,Operculum/Insula,Yes,Ri,3,low_resolution,Operculum/Insula::G + Iapl + Id + Ig + PrCo + Ri + SII,G | Iapl | Id | Ig | PrCo | Ri | SII,requires_manual_review,insula,operculum/insula,operculum/insula,Ri; retroinsula; operculum/insula; insular cortex,major_structure,medium,mapped to major cortical structure by Bo2023 lobe/network,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
SII,secondary somatosensory area (S2),Parietal,Operculum/Insula,Yes,SII,9,low_resolution,Operculum/Insula::G + Iapl + Id + Ig + PrCo + Ri + SII,G | Iapl | Id | Ig | PrCo | Ri | SII,requires_manual_review,parietal lobe,operculum/insula,secondary somatosensory cortex,S2; secondary somatosensory cortex; parietal operculum,exact/common_anatomical_name,high,mapped by widely used anatomical name shared across macaque and public brain datasets,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
STG,superior temporal gyrus,Temporal,Temporal,Yes,STG,15,low_resolution,Temporal::PGa + STG + TAa + TEa + TEad + TEm + TPO,PGa | STG | TAa | TEa | TEad | TEm | TPO,requires_manual_review,temporal lobe,temporal cortex,superior temporal gyrus,superior temporal gyrus; temporal cortex,exact/common_anatomical_name,high,mapped by widely used anatomical name shared across macaque and public brain datasets,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
TAa,"area TAa,sts dorsal bank",Temporal,Temporal,Yes,TAa,5,low_resolution,Temporal::PGa + STG + TAa + TEa + TEad + TEm + TPO,PGa | STG | TAa | TEa | TEad | TEm | TPO,requires_manual_review,temporal lobe,temporal cortex,temporal cortex,"TAa; area TAa,sts dorsal bank; temporal cortex; temporal cortex",lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
TEO,area TEO,Temporal,Temporal,Yes,TEO,8,low_resolution,Temporal::TEO + TEpd + TEpv,TEO | TEpd | TEpv,strong_internal_support,temporal lobe,temporal cortex,temporal cortex,TEO; area TEO; temporal cortex; temporal cortex,lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
TEa,"area TEa,sts ventral bank",Temporal,Temporal,Yes,TEa,3,low_resolution,Temporal::PGa + STG + TAa + TEa + TEad + TEm + TPO,PGa | STG | TAa | TEa | TEad | TEm | TPO,requires_manual_review,temporal lobe,temporal cortex,temporal cortex,"TEa; area TEa,sts ventral bank; temporal cortex; temporal cortex",lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
TEad,dorsal subregion of anterior TE,Temporal,Temporal,Yes,TEad,8,low_resolution,Temporal::PGa + STG + TAa + TEa + TEad + TEm + TPO,PGa | STG | TAa | TEa | TEad | TEm | TPO,requires_manual_review,temporal lobe,temporal cortex,temporal cortex,TEad; dorsal subregion of anterior TE; temporal cortex; temporal cortex,lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
TEav,ventral subregion of anterior TE,Temporal,Temporal,Yes,TEav,9,low_resolution,Temporal::TEav + TFO,TEav | TFO,strong_internal_support,temporal lobe,temporal cortex,temporal cortex,TEav; ventral subregion of anterior TE; temporal cortex; temporal cortex,lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
TEm,"area TEm,sts ventral bank",Temporal,Temporal,Yes,TEm,10,low_resolution,Temporal::PGa + STG + TAa + TEa + TEad + TEm + TPO,PGa | STG | TAa | TEa | TEad | TEm | TPO,requires_manual_review,temporal lobe,temporal cortex,temporal cortex,"TEm; area TEm,sts ventral bank; temporal cortex; temporal cortex",lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
TEpd,dorsal subregion of posterior TE,Temporal,Temporal,Yes,TEpd,8,low_resolution,Temporal::TEO + TEpd + TEpv,TEO | TEpd | TEpv,strong_internal_support,temporal lobe,temporal cortex,temporal cortex,TEpd; dorsal subregion of posterior TE; temporal cortex; temporal cortex,lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
TEpv,ventral subregion of posterior TE,Temporal,Temporal,Yes,TEpv,7,low_resolution,Temporal::TEO + TEpd + TEpv,TEO | TEpd | TEpv,strong_internal_support,temporal lobe,temporal cortex,temporal cortex,TEpv; ventral subregion of posterior TE; temporal cortex; temporal cortex,lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
TF,area TF of the parahippocampal cortex,Temporal,Temporal,Yes,TF,2,low_resolution,TF,TF,single_region_low_resolution,temporal lobe,temporal cortex,parahippocampal cortex,parahippocampal cortex,exact/common_anatomical_name,high,mapped by widely used anatomical name shared across macaque and public brain datasets,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
TFO,area TFO of the parahippocampal cortex,Temporal,Temporal,Yes,TFO,8,low_resolution,Temporal::TEav + TFO,TEav | TFO,strong_internal_support,temporal lobe,temporal cortex,parahippocampal cortex,parahippocampal cortex,exact/common_anatomical_name,high,mapped by widely used anatomical name shared across macaque and public brain datasets,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
TG,temporal pole,Temporal,Temporal,Yes,TG,4,low_resolution,TG,TG,single_region_low_resolution,temporal lobe,temporal cortex,temporal pole,temporal pole,exact/common_anatomical_name,high,mapped by widely used anatomical name shared across macaque and public brain datasets,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
TPO,"area TPO,sts dorsal bank",Temporal,Temporal,Yes,TPO,11,low_resolution,Temporal::PGa + STG + TAa + TEa + TEad + TEm + TPO,PGa | STG | TAa | TEa | TEad | TEm | TPO,requires_manual_review,temporal lobe,temporal cortex,temporal cortex,"TPO; area TPO,sts dorsal bank; temporal cortex; temporal cortex",lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
Tpt,temporo-parietal area,Temporal,Temporal,Yes,Tpt,6,low_resolution,Temporal::AI + CL + CM + ML + Tpt,AI | CL | CM | ML | Tpt,moderate_internal_support,temporal lobe,temporal cortex,temporal cortex,Tpt; temporo-parietal area; temporal cortex; temporal cortex,lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
V1,"visual area 1, primary visual cortex",Occipital,Occipital/Temporal,Yes,V1,11,high_resolution,V1,V1,single_region_low_resolution,occipital lobe,visual occipital-temporal cortex,primary visual cortex,primary visual cortex; V1; occipital cortex,exact/common_anatomical_name,high,mapped by widely used anatomical name shared across macaque and public brain datasets,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
V2,visual area 2,Occipital,Occipital/Temporal,Yes,V2,15,low_resolution,V2,V2,single_region_low_resolution,occipital lobe,visual occipital-temporal cortex,secondary visual cortex,V2; visual area 2; occipital cortex,exact/common_anatomical_name,high,mapped by widely used anatomical name shared across macaque and public brain datasets,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
V3d,"visual area 3, dorsal part",Occipital,Occipital/Temporal,Yes,V3d,5,low_resolution,Occipital/Temporal::V3d + V3v + V4 + V4v,V3d | V3v | V4 | V4v,strong_internal_support,occipital lobe,visual occipital-temporal cortex,visual cortex area V3,V3; dorsal V3; occipital cortex,exact/common_anatomical_name,high,mapped by widely used anatomical name shared across macaque and public brain datasets,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
V3v,"visual area 3, ventral part",Occipital,Occipital/Temporal,Yes,V3v,8,low_resolution,Occipital/Temporal::V3d + V3v + V4 + V4v,V3d | V3v | V4 | V4v,strong_internal_support,occipital lobe,visual occipital-temporal cortex,visual cortex area V3,V3; ventral V3; occipital cortex,exact/common_anatomical_name,high,mapped by widely used anatomical name shared across macaque and public brain datasets,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
V4,"visual area 4,dorsal part",Occipital,Occipital/Temporal,Yes,V4,7,low_resolution,Occipital/Temporal::V3d + V3v + V4 + V4v,V3d | V3v | V4 | V4v,strong_internal_support,occipital lobe,visual occipital-temporal cortex,visual cortex area V4,V4; visual area 4; occipital/temporal visual cortex,exact/common_anatomical_name,high,mapped by widely used anatomical name shared across macaque and public brain datasets,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
V4v,"visual area 4,ventral part",Occipital,Occipital/Temporal,Yes,V4v,7,low_resolution,Occipital/Temporal::V3d + V3v + V4 + V4v,V3d | V3v | V4 | V4v,strong_internal_support,occipital lobe,visual occipital-temporal cortex,visual cortex area V4,V4; ventral V4; occipital/temporal visual cortex,exact/common_anatomical_name,high,mapped by widely used anatomical name shared across macaque and public brain datasets,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
VIP,ventral intraparietal area,Parietal,"Parietal, and Parieto-occipital region",Yes,VIP,11,low_resolution,"Parietal, and Parieto-occipital region::44563 + 5 + 7a + 7b + 7m + 7op + LIPv + VIP",44563 | 5 | 7a | 7b | 7m | 7op | LIPv | VIP,requires_manual_review,parietal lobe,parietal/parieto-occipital cortex,parietal/parieto-occipital cortex,VIP; ventral intraparietal area; parietal/parieto-occipital cortex; parietal cortex,lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
amy,amy,Subcortical,Subcortical,No,amy,8,low_resolution,amy,amy,single_region_low_resolution,subcortical structures,subcortical structures,amygdala,amygdala,exact/common_anatomical_name,high,mapped by widely used anatomical name shared across macaque and public brain datasets,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
cd,cd,Subcortical,Subcortical,No,Striatum,8,low_resolution,Subcortical::NARegion + cd + pu,NARegion | cd | pu,moderate_internal_support,subcortical structures,subcortical structures,caudate,caudate nucleus; caudate,exact/common_anatomical_name,high,mapped by widely used anatomical name shared across macaque and public brain datasets,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
cla,cla,Subcortical,Subcortical,No,Claustrum,1,low_resolution,cla,cla,single_region_low_resolution,subcortical structures,subcortical structures,claustrum,claustrum,exact/common_anatomical_name,high,mapped by widely used anatomical name shared across macaque and public brain datasets,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
pu,pu,Subcortical,Subcortical,No,Striatum,9,low_resolution,Subcortical::NARegion + cd + pu,NARegion | cd | pu,moderate_internal_support,subcortical structures,subcortical structures,putamen,putamen,exact/common_anatomical_name,high,mapped by widely used anatomical name shared across macaque and public brain datasets,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
thalamus,thalamus,Subcortical,Subcortical,No,TH,7,low_resolution,thalamus,thalamus,single_region_low_resolution,subcortical structures,subcortical structures,thalamus,thalamus,exact/common_anatomical_name,high,mapped by widely used anatomical name shared across macaque and public brain datasets,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
