public_dataset,public_label_type,public_label,public_main_structure,public_sub_structure,public_major_anatomy,public_fine_anatomy_label,allowed_bo2023_lobes,allowed_bo2023_networks,allowed_bo2023_regions,mapping_confidence,supported_for_accuracy,accuracy_level,mapping_rule,caution_note
AHBA_RNAseq,AHBA main_structure/sub_structure,CbCx::CbCx,CbCx,CbCx,cerebellar cortex,CbCx,,,,unsupported,False,unsupported,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
AHBA_RNAseq,AHBA main_structure/sub_structure,CgG::CgG,CgG,CgG,cingulate cortex,cingulate cortex,Cingulate | Frontal,Cingulate gyrus | Orbitomedial Prefrontal Cortex (OMPFC),23a | 23b | 23c | 24a | 24a' | 24b | 24b' | 24c | 24c' | 25 | 31 | 32,medium,True,exact_region,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
AHBA_RNAseq,AHBA main_structure/sub_structure,FL::GRe,FL,GRe,frontal lobe,GRe,Frontal,Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC) | Frontal (agranular frontal motor areas) | Operculum/Insula,,medium,True,coarse_anatomy,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
AHBA_RNAseq,AHBA main_structure/sub_structure,FL::MFG,FL,MFG,frontal lobe,MFG,Frontal,Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC) | Frontal (agranular frontal motor areas) | Operculum/Insula,,medium,True,coarse_anatomy,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
AHBA_RNAseq,AHBA main_structure/sub_structure,FL::OrbGyri,FL,OrbGyri,frontal lobe,OrbGyri,Frontal,Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC) | Frontal (agranular frontal motor areas) | Operculum/Insula,,medium,True,coarse_anatomy,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
AHBA_RNAseq,AHBA main_structure/sub_structure,FL::PCLa-i,FL,PCLa-i,frontal lobe,PCLa-i,Frontal,Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC) | Frontal (agranular frontal motor areas) | Operculum/Insula,,medium,True,coarse_anatomy,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
AHBA_RNAseq,AHBA main_structure/sub_structure,FL::PCLa-s,FL,PCLa-s,frontal lobe,PCLa-s,Frontal,Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC) | Frontal (agranular frontal motor areas) | Operculum/Insula,,medium,True,coarse_anatomy,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
AHBA_RNAseq,AHBA main_structure/sub_structure,FL::PrG,FL,PrG,frontal lobe,precentral/motor cortex,Frontal,Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC) | Frontal (agranular frontal motor areas) | Operculum/Insula,F1 | F2 | F3 | F4 | F5 | F6 | F7,medium,True,exact_region,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
AHBA_RNAseq,AHBA main_structure/sub_structure,FL::SFG-l,FL,SFG-l,frontal lobe,SFG-l,Frontal,Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC) | Frontal (agranular frontal motor areas) | Operculum/Insula,,medium,True,coarse_anatomy,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
AHBA_RNAseq,AHBA main_structure/sub_structure,FL::SFG-m,FL,SFG-m,frontal lobe,SFG-m,Frontal,Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC) | Frontal (agranular frontal motor areas) | Operculum/Insula,,medium,True,coarse_anatomy,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
AHBA_RNAseq,AHBA main_structure/sub_structure,FL::orIFG,FL,orIFG,frontal lobe,orIFG,Frontal,Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC) | Frontal (agranular frontal motor areas) | Operculum/Insula,,medium,True,coarse_anatomy,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
AHBA_RNAseq,AHBA main_structure/sub_structure,GP::GP,GP,GP,globus pallidus,globus pallidus,Subcortical,Subcortical,GPeGPi,high,True,exact_region,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
AHBA_RNAseq,AHBA main_structure/sub_structure,Ins::Insula,Ins,Insula,insula,insula,Insula,Operculum/Insula,Ia | Ial | Iapl | Iapm | Id | Ig,high,True,exact_region,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
AHBA_RNAseq,AHBA main_structure/sub_structure,OL::pest_V2,OL,pest_V2,occipital lobe,secondary visual cortex,Occipital,Occipital/Temporal,V2,medium,True,exact_region,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
AHBA_RNAseq,AHBA main_structure/sub_structure,OL::str_V1,OL,str_V1,occipital lobe,primary visual cortex,Occipital,Occipital/Temporal,V1,medium,True,exact_region,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
AHBA_RNAseq,AHBA main_structure/sub_structure,PHG::PHG,PHG,PHG,parahippocampal cortex,parahippocampal cortex,Temporal,Temporal,TF | TFO,high,True,exact_region,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
AHBA_RNAseq,AHBA main_structure/sub_structure,PL::AnG-i,PL,AnG-i,parietal lobe,AnG-i,Parietal,"Parietal, and Parieto-occipital region | Operculum/Insula",,medium,True,coarse_anatomy,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
AHBA_RNAseq,AHBA main_structure/sub_structure,PL::AnG-s,PL,AnG-s,parietal lobe,AnG-s,Parietal,"Parietal, and Parieto-occipital region | Operculum/Insula",,medium,True,coarse_anatomy,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
AHBA_RNAseq,AHBA main_structure/sub_structure,PL::Pcu,PL,Pcu,parietal lobe,Pcu,Parietal,"Parietal, and Parieto-occipital region | Operculum/Insula",,medium,True,coarse_anatomy,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
AHBA_RNAseq,AHBA main_structure/sub_structure,PL::PoG-cs,PL,PoG-cs,parietal lobe,postcentral/somatosensory cortex,Parietal,"Parietal, and Parieto-occipital region | Operculum/Insula",3a/b | 5 | SII,medium,True,exact_region,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
AHBA_RNAseq,AHBA main_structure/sub_structure,PL::PoG-l,PL,PoG-l,parietal lobe,postcentral/somatosensory cortex,Parietal,"Parietal, and Parieto-occipital region | Operculum/Insula",3a/b | 5 | SII,medium,True,exact_region,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
AHBA_RNAseq,AHBA main_structure/sub_structure,PL::SMG-i,PL,SMG-i,parietal lobe,SMG-i,Parietal,"Parietal, and Parieto-occipital region | Operculum/Insula",,medium,True,coarse_anatomy,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
AHBA_RNAseq,AHBA main_structure/sub_structure,PL::SPL,PL,SPL,parietal lobe,SPL,Parietal,"Parietal, and Parieto-occipital region | Operculum/Insula",,medium,True,coarse_anatomy,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
AHBA_RNAseq,AHBA main_structure/sub_structure,Str::Caudate,Str,Caudate,striatum,caudate,Subcortical,Subcortical,cd,high,True,exact_region,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
AHBA_RNAseq,AHBA main_structure/sub_structure,Str::Putamen,Str,Putamen,striatum,putamen,Subcortical,Subcortical,pu,high,True,exact_region,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
AHBA_RNAseq,AHBA main_structure/sub_structure,TL::FuG-its,TL,FuG-its,temporal lobe,FuG-its,Temporal,Temporal | Occipital/Temporal,,medium,True,coarse_anatomy,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
AHBA_RNAseq,AHBA main_structure/sub_structure,TL::ITG,TL,ITG,temporal lobe,ITG,Temporal,Temporal | Occipital/Temporal,,medium,True,coarse_anatomy,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
AHBA_RNAseq,AHBA main_structure/sub_structure,TL::MTG,TL,MTG,temporal lobe,MTG,Temporal,Temporal | Occipital/Temporal,,medium,True,coarse_anatomy,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
AHBA_RNAseq,AHBA main_structure/sub_structure,TL::STG,TL,STG,temporal lobe,STG,Temporal,Temporal | Occipital/Temporal,,medium,True,coarse_anatomy,AHBA normal human anatomical label harmonized to Bo2023 lobe/network; exact region only for stable shared labels.,"Human-to-macaque external validation is approximate; report coarse anatomy/network accuracy, not strict Bo2023 exact-region accuracy."
